date,field,treatment,group,meas,leaf,chl,flav,anth,nbi
2025-07-18,benson,treatment,1,405,leaf1,38.553,0.333,0.389,115.88
2025-07-18,benson,treatment,1,406,leaf2,45.463,0.894,0.421,50.86
2025-07-18,benson,treatment,1,407,leaf1,54.584,0.505,0.347,108.19
2025-07-18,benson,treatment,1,408,leaf2,55.106,0.767,0.361,71.8
2025-07-18,benson,treatment,1,403,leaf1,44.832,0.34,0.316,131.74
2025-07-18,benson,treatment,1,404,leaf2,60.182,0.451,0.337,133.41
2025-07-18,benson,treatment,1,409,leaf1,46.49,0.47,0.291,98.97
2025-07-18,benson,treatment,1,410,leaf2,56.58,0.837,0.347,67.62
2025-07-18,benson,treatment,1,401,leaf1,41.672,0.518,0.346,80.5
2025-07-18,benson,treatment,1,402,leaf2,65.54,0.825,0.302,79.48
2025-07-18,benson,treatment,1,411,leaf1,48.324,0.398,0.375,121.52
2025-07-18,benson,treatment,1,412,leaf2,57.597,1.064,0.291,54.15
2025-07-18,benson,treatment,1,399,leaf1,30.948,1.13,0.411,27.39
2025-07-18,benson,treatment,1,400,leaf2,60.687,1.046,0.336,57.99
2025-07-18,benson,treatment,1,413,leaf1,27.948,NA,NA,NA
2025-07-18,benson,treatment,1,414,leaf2,57.591,0.601,0.291,95.79
2025-07-18,benson,treatment,1,397,leaf1,12.734,0.328,0.069,38.79
2025-07-18,benson,treatment,1,398,leaf2,56,0.539,0.323,103.91
2025-07-18,benson,treatment,1,415,leaf1,39.505,0.427,0.413,92.5
2025-07-18,benson,treatment,1,416,leaf2,55.515,0.916,0.348,60.58
2025-07-18,benson,treatment,1,421,leaf1,45.895,0.507,0.358,90.5
2025-07-18,benson,treatment,1,422,leaf2,52.319,NA,0,NA
2025-07-18,benson,treatment,1,423,leaf1,49.913,0.448,0.352,111.29
2025-07-18,benson,treatment,1,424,leaf2,49.363,0.532,0.382,92.77
2025-07-18,benson,treatment,1,425,leaf1,51.838,0.699,NA,74.14
2025-07-18,benson,treatment,1,426,leaf2,57.057,0.83,0.324,68.77
2025-07-18,benson,treatment,1,427,leaf1,46.02,0.357,0.39,128.98
2025-07-18,benson,treatment,1,428,leaf2,43.732,0.803,0.262,54.45
2025-07-18,benson,treatment,1,429,leaf1,56.086,0.697,0.345,80.42
2025-07-18,benson,treatment,1,430,leaf2,55.065,0.683,0.293,80.68
2025-07-18,benson,treatment,1,431,leaf1,39.627,0.483,0.465,81.98
2025-07-18,benson,treatment,1,432,leaf2,51.057,NA,0.069,NA
2025-07-18,benson,treatment,1,433,leaf1,48.808,0.497,0.343,98.13
2025-07-18,benson,treatment,1,434,leaf2,58.884,0.413,0.344,142.75
2025-07-18,benson,treatment,1,293,leaf1,44.548,0.58,0,76.85
2025-07-18,benson,treatment,1,294,leaf2,65.131,0.756,NA,86.12
2025-07-18,benson,treatment,1,291,leaf1,36.448,0.362,0.38,100.67
2025-07-18,benson,treatment,1,292,leaf2,36.332,0.264,0.177,137.87
2025-07-18,benson,treatment,1,295,leaf1,50.364,0.566,0.292,88.99
2025-07-18,benson,treatment,1,296,leaf2,41.288,0.627,0.34,65.82
2025-07-18,benson,treatment,1,289,leaf1,42.621,0.394,0.28,108.26
2025-07-18,benson,treatment,1,290,leaf2,51.548,0.768,0.36,67.12
2025-07-18,benson,treatment,1,297,leaf1,42.701,0.449,0.396,95.17
2025-07-18,benson,treatment,1,298,leaf2,40.466,0.689,0.475,58.72
2025-07-18,benson,treatment,1,339,leaf1,52.061,0.477,0.294,109.2
2025-07-18,benson,treatment,1,340,leaf2,56.26,0.751,0.378,74.95
2025-07-18,benson,treatment,1,299,leaf1,15.233,0.251,0.077,60.57
2025-07-18,benson,treatment,1,300,leaf2,58.792,0.815,0.328,72.1
2025-07-18,benson,treatment,1,337,leaf1,6.43,1.358,0,4.73
2025-07-18,benson,treatment,1,338,leaf2,57.472,0.828,0.297,69.37
2025-07-18,benson,treatment,1,301,leaf1,42.49,0.447,0.393,95.09
2025-07-18,benson,treatment,1,302,leaf2,59.502,0.692,0.304,85.93
2025-07-18,benson,treatment,1,335,leaf1,42.539,0.42,NA,101.22
2025-07-18,benson,treatment,1,336,leaf2,55.885,0.876,0.324,63.77
2025-07-18,benson,treatment,1,331,leaf1,46.215,0.482,0.262,95.79
2025-07-18,benson,treatment,1,332,leaf2,63.215,0.571,0.341,110.81
2025-07-18,benson,treatment,1,303,leaf1,45.875,0.413,0.328,111.11
2025-07-18,benson,treatment,1,304,leaf2,52.754,0.494,0.399,106.73
2025-07-18,benson,treatment,1,341,leaf1,5.7,NA,0,NA
2025-07-18,benson,treatment,1,342,leaf2,67.486,0.636,0.339,106.1
2025-07-18,benson,treatment,1,343,leaf1,42.31,0.498,0.414,84.94
2025-07-18,benson,treatment,1,344,leaf2,47.945,1.114,0.353,43.02
2025-07-18,benson,treatment,1,345,leaf1,38.969,NA,0.294,NA
2025-07-18,benson,treatment,1,346,leaf2,54.44,0.628,0.346,86.7
2025-07-18,benson,treatment,1,231,leaf1,47.283,0.36,0.42,131.17
2025-07-18,benson,treatment,1,232,leaf2,42.866,0.631,0.583,67.93
2025-07-18,benson,treatment,1,229,leaf1,50.028,0.661,0.38,75.68
2025-07-18,benson,treatment,1,230,leaf2,42.976,1.011,0.229,42.52
2025-07-18,benson,treatment,1,227,leaf1,51.866,0.535,0.517,97.04
2025-07-18,benson,treatment,1,228,leaf2,55.511,0.476,0.353,116.51
2025-07-18,benson,treatment,1,225,leaf1,36.77,0.431,0.41,85.24
2025-07-18,benson,treatment,1,226,leaf2,57.758,0.65,0.308,88.85
2025-07-18,benson,treatment,1,224,leaf2,53.511,1.137,0.349,47.06
2025-07-18,benson,treatment,1,223,leaf1,39.142,0.551,0.293,71.04
2025-07-18,benson,treatment,1,222,leaf2,50.697,0.785,0.393,64.56
2025-07-18,benson,treatment,1,221,leaf1,46.298,0.515,0.371,89.9
2025-07-18,benson,treatment,1,219,leaf1,34.837,0.456,0.408,76.47
2025-07-18,benson,treatment,1,220,leaf2,47.895,0.692,0.367,69.21
2025-07-18,benson,treatment,1,217,leaf1,59.117,0.536,0.332,110.28
2025-07-18,benson,treatment,1,218,leaf2,13.284,1.026,0,12.95
2025-07-18,benson,treatment,1,215,leaf1,54.733,1.128,0.303,48.51
2025-07-18,benson,treatment,1,216,leaf2,62.565,0.523,0.332,119.67
2025-07-18,benson,treatment,1,213,leaf1,52.861,0.901,0.312,58.67
2025-07-18,benson,treatment,1,214,leaf2,54.858,0.554,0.801,98.95
2025-07-18,benson,treatment,1,211,leaf1,50.839,0.677,0.347,75.08
2025-07-18,benson,treatment,1,212,leaf2,17.393,0.9,0.288,19.32
2025-07-18,benson,treatment,1,209,leaf1,51.602,0.405,0.323,127.35
2025-07-18,benson,treatment,1,210,leaf2,58.731,0.689,0.333,85.26
2025-07-18,benson,treatment,1,207,leaf1,54.744,0.474,0.304,115.45
2025-07-18,benson,treatment,1,208,leaf2,62.057,0.948,0.316,65.48
2025-07-18,benson,treatment,1,197,leaf1,43.32,0.395,0.437,109.73
2025-07-18,benson,treatment,1,198,leaf2,53.351,0.722,0.311,73.9
2025-07-18,benson,treatment,1,199,leaf1,48.745,0.427,0.33,114.03
2025-07-18,benson,treatment,1,200,leaf2,50.518,0.546,0.73,92.59
2025-07-18,benson,treatment,1,205,leaf1,49.267,0.405,0.338,121.69
2025-07-18,benson,treatment,1,206,leaf2,55.515,0.875,0.318,63.42
2025-07-18,benson,treatment,1,203,leaf1,46.772,0.924,NA,50.63
2025-07-18,benson,treatment,1,204,leaf2,54.415,1.235,0.318,44.07
2025-07-18,benson,treatment,1,252,leaf2,46.682,0.969,0.295,48.18
2025-07-18,benson,treatment,1,251,leaf1,55.89,0.577,0.333,96.81
2025-07-18,benson,treatment,1,264,leaf2,19.972,1.062,0.18,18.81
2025-07-18,benson,treatment,1,263,leaf1,59.513,0.491,NA,121.28
2025-07-18,benson,treatment,1,266,leaf2,45.165,0.864,0.222,52.26
2025-07-18,benson,treatment,1,265,leaf1,45.016,0.709,0.425,63.54
2025-07-18,benson,treatment,1,258,leaf2,42.277,0.887,0.392,47.66
2025-07-18,benson,treatment,1,257,leaf1,40.519,0.35,0.419,115.84
2025-07-18,benson,treatment,1,260,leaf2,53.562,1.65,0.353,32.47
2025-07-18,benson,treatment,1,259,leaf1,58.511,0.59,0.323,99.21
2025-07-18,benson,treatment,1,262,leaf2,46.797,1.092,0,42.86
2025-07-18,benson,treatment,1,261,leaf1,52.82,NA,0,NA
2025-07-18,benson,treatment,1,250,leaf2,56.968,0.561,0.319,101.63
2025-07-18,benson,treatment,1,249,leaf1,56.554,0.531,0.335,106.57
2025-07-18,benson,treatment,1,248,leaf2,58.949,0.444,0.281,132.65
2025-07-18,benson,treatment,1,247,leaf1,51.574,0.471,0.313,109.46
2025-07-18,benson,treatment,1,246,leaf2,45.208,1.271,0.278,35.57
2025-07-18,benson,treatment,1,245,leaf1,66.797,0.62,0.33,107.7
2025-07-18,benson,treatment,1,244,leaf2,57.842,0.661,0.33,87.46
2025-07-18,benson,treatment,1,243,leaf1,44.656,0.49,0.38,91.12
2025-07-18,benson,treatment,1,242,leaf2,44.239,0.515,0.472,85.84
2025-07-18,benson,treatment,1,241,leaf1,53.497,0.792,NA,67.52
2025-07-18,benson,treatment,1,240,leaf2,52.415,0.502,0.4,104.52
2025-07-18,benson,treatment,1,239,leaf1,44.965,0.551,0.393,81.53
2025-07-18,benson,treatment,1,238,leaf2,49.938,0.382,0.393,130.64
2025-07-18,benson,treatment,1,237,leaf1,49.761,0.624,0.359,79.74
2025-07-18,benson,treatment,1,236,leaf2,14.847,0.504,NA,29.48
2025-07-18,benson,treatment,1,235,leaf1,42.037,0.446,0.374,94.21
2025-07-18,benson,treatment,1,234,leaf2,48.608,0.557,0.315,87.21
2025-07-18,benson,treatment,1,233,leaf1,48.6,0.351,0.364,138.6
2025-07-18,benson,treatment,1,287,leaf1,33.392,NA,NA,NA
2025-07-18,benson,treatment,1,288,leaf2,48.197,0.317,0.364,152.23
2025-07-18,benson,treatment,1,285,leaf1,42.928,0.412,0.382,104.2
2025-07-18,benson,treatment,1,286,leaf2,58.614,0.687,0.429,85.37
2025-07-18,benson,treatment,1,283,leaf1,60.425,0.5,0.168,120.96
2025-07-18,benson,treatment,1,284,leaf2,55.581,0.937,0.314,59.32
2025-07-18,benson,treatment,1,281,leaf1,61.613,0.445,0.47,138.36
2025-07-18,benson,treatment,1,282,leaf2,65.147,1.153,0.29,56.48
2025-07-18,benson,treatment,1,279,leaf1,55.803,0.766,0.368,72.83
2025-07-18,benson,treatment,1,280,leaf2,63.852,0.838,0.29,76.2
2025-07-18,benson,treatment,1,277,leaf1,48.559,0.409,0.414,118.82
2025-07-18,benson,treatment,1,278,leaf2,56.332,0.467,0.324,120.61
2025-07-18,benson,treatment,1,276,leaf2,49.324,0.96,0.428,51.36
2025-07-18,benson,treatment,1,275,leaf1,53.956,0.613,NA,88.04
2025-07-18,benson,treatment,1,272,leaf2,57.578,0.574,0.327,100.37
2025-07-18,benson,treatment,1,271,leaf1,41.623,0.358,0.18,116.36
2025-07-18,benson,treatment,1,274,leaf2,51.621,0.667,0.326,77.45
2025-07-18,benson,treatment,1,273,leaf1,45.047,0.464,0.366,97.14
2025-07-18,benson,treatment,1,254,leaf2,53.022,0.596,0.366,88.9
2025-07-18,benson,treatment,1,253,leaf1,40.397,0.452,0.395,89.31
2025-07-18,benson,treatment,1,256,leaf2,56.289,0.46,0.419,122.34
2025-07-18,benson,treatment,1,255,leaf1,23.577,0.375,0.396,62.83
2025-07-18,benson,treatment,1,270,leaf2,58.602,0.553,0.357,105.97
2025-07-18,benson,treatment,1,269,leaf1,43.624,0.185,0,236.24
2025-07-18,benson,treatment,1,268,leaf2,55.5,0.468,0.273,118.72
2025-07-18,benson,treatment,1,267,leaf1,51.902,0.473,0.369,109.66
2025-07-18,benson,treatment,1,369,leaf1,32.832,0.451,0.409,72.74
2025-07-18,benson,treatment,1,370,leaf2,41.993,0.51,0.36,82.32
2025-07-18,benson,treatment,1,367,leaf1,41.34,0.419,0.369,98.71
2025-07-18,benson,treatment,1,368,leaf2,58.023,0.995,0.34,58.32
2025-07-18,benson,treatment,1,365,leaf1,54.689,0.189,0,289.17
2025-07-18,benson,treatment,1,366,leaf2,70.994,0.726,0.287,97.75
2025-07-18,benson,treatment,1,363,leaf1,39.085,0.483,0.391,80.84
2025-07-18,benson,treatment,1,364,leaf2,25.595,0.53,0.282,48.29
2025-07-18,benson,treatment,1,361,leaf1,38.326,0.348,0.489,110.06
2025-07-18,benson,treatment,1,362,leaf2,42.925,0.512,0.233,83.88
2025-07-18,benson,treatment,1,357,leaf1,47.701,0.434,0.341,109.94
2025-07-18,benson,treatment,1,358,leaf2,54.866,0.375,0.268,146.26
2025-07-18,benson,treatment,1,359,leaf1,60.794,0.365,0.341,166.76
2025-07-18,benson,treatment,1,360,leaf2,63.35,0.52,0.769,121.91
2025-07-18,benson,treatment,1,355,leaf1,49.477,0.372,0.215,133.09
2025-07-18,benson,treatment,1,356,leaf2,39.41,0.529,0.391,74.52
2025-07-18,benson,treatment,1,353,leaf1,60.647,0.762,0.3,79.58
2025-07-18,benson,treatment,1,354,leaf2,42.987,0.471,0.349,91.23
2025-07-18,benson,treatment,1,371,leaf1,49.544,0.459,0.651,107.91
2025-07-18,benson,treatment,1,372,leaf2,56.202,0.298,0.339,188.28
2025-07-18,benson,treatment,1,373,leaf1,66.231,0.639,0.027,103.66
2025-07-18,benson,treatment,1,374,leaf2,14.793,0.849,0.085,17.42
2025-07-18,benson,treatment,1,375,leaf1,44.882,0.566,0.339,79.25
2025-07-18,benson,treatment,1,376,leaf2,12.979,NA,0,NA
2025-07-18,benson,treatment,1,377,leaf1,43.971,0.633,0.402,69.44
2025-07-18,benson,treatment,1,378,leaf2,56.989,0.455,0.298,125.15
2025-07-18,benson,treatment,1,379,leaf1,61.203,0.589,0.256,103.99
2025-07-18,benson,treatment,1,380,leaf2,61.324,1.056,0.297,58.05
2025-07-18,benson,treatment,1,381,leaf1,49.696,0.67,NA,74.18
2025-07-18,benson,treatment,1,382,leaf2,63.571,1.009,0.349,63.03
2025-07-18,benson,treatment,1,383,leaf1,14.608,NA,NA,NA
2025-07-18,benson,treatment,1,384,leaf2,61.659,1.084,0.203,56.88
2025-07-18,benson,treatment,1,385,leaf1,45.699,0.54,0.364,84.58
2025-07-18,benson,treatment,1,386,leaf2,62.949,0.551,0.354,114.18
2025-07-18,benson,treatment,1,387,leaf1,41.317,0.458,0.39,90.3
2025-07-18,benson,treatment,1,388,leaf2,56.02,0.552,0.527,101.55
2025-07-18,benson,treatment,1,347,leaf1,48.165,0.459,0.492,104.95
2025-07-18,benson,treatment,1,348,leaf2,20.829,0.981,0.393,21.22
2025-07-18,benson,treatment,1,327,leaf1,41.87,0.419,0.295,99.87
2025-07-18,benson,treatment,1,328,leaf2,47.661,NA,0.134,NA
2025-07-18,benson,treatment,1,329,leaf1,41.26,0.552,0.391,74.74
2025-07-18,benson,treatment,1,330,leaf2,52.855,0.914,0.295,57.84
2025-07-18,benson,treatment,1,333,leaf1,32.605,0.397,0.427,82.19
2025-07-18,benson,treatment,1,334,leaf2,53.2,0.565,0.443,94.09
2025-07-18,benson,treatment,1,315,leaf1,47.002,0.439,0.365,107.11
2025-07-18,benson,treatment,1,316,leaf2,53.886,0.988,0,54.52
2025-07-18,benson,treatment,1,309,leaf1,48.861,0.422,0.485,115.67
2025-07-18,benson,treatment,1,310,leaf2,67.149,1.111,NA,60.45
2025-07-18,benson,treatment,1,307,leaf1,42.725,0.426,0.459,100.21
2025-07-18,benson,treatment,1,308,leaf2,52.595,0.498,0.215,105.63
2025-07-18,benson,treatment,1,305,leaf1,57.83,0.563,0.332,102.71
2025-07-18,benson,treatment,1,306,leaf2,68.533,0.908,0.351,75.48
2025-07-18,benson,treatment,1,201,leaf1,50.754,0.589,0.341,86.23
2025-07-18,benson,treatment,1,202,leaf2,52.162,1.153,0.343,45.22
2025-07-18,benson,treatment,1,195,leaf1,44.505,0.46,0.376,96.78
2025-07-18,benson,treatment,1,196,leaf2,15.154,1.036,0.232,14.63
2025-07-18,benson,treatment,1,193,leaf1,41.481,0.369,0.4,112.27
2025-07-18,benson,treatment,1,194,leaf2,38.735,0.399,0.452,97.08
2025-07-18,benson,treatment,1,191,leaf1,52.072,0.726,0.34,71.68
2025-07-18,benson,treatment,1,192,leaf2,55.266,0.445,0.314,124.21
2025-07-18,benson,treatment,1,190,leaf2,53.723,0.482,0.407,111.54
2025-07-18,benson,treatment,1,189,leaf1,57.392,0.434,0.347,132.11
2025-07-18,benson,treatment,1,187,leaf2,59.213,0.878,0.325,67.47
