Field,SampleID,SampleType,SampleDate_CN,TotalC_pct,TotalN_pct,Treatment
macauley,mac_BLK4_3,MaizeBiomass,7/9/25,43.348,4.235,High
macauley,mac_BLK4_3,MaizeBiomass,7/9/25,43.023,4.061,High
macauley,mac_BLK4_3,CoverCrop,5/13/25,45.558,1.591,High
macauley,mac_BLK4_3,CoverCrop,5/13/25,44.345,1.777,High
macauley,mac_BLK4_2,MaizeBiomass,7/9/25,42.748,3.86,Standard
macauley,mac_BLK4_2,MaizeBiomass,7/9/25,42.96,4.119,Standard
macauley,mac_BLK4_2,CoverCrop,5/13/25,45.593,2.281,Standard
macauley,mac_BLK4_2,CoverCrop,5/13/25,45.082,1.881,Standard
macauley,mac_BLK4_4,MaizeBiomass,7/9/25,44.093,3.51,Zero
macauley,mac_BLK4_4,MaizeBiomass,7/9/25,42.164,4.28,Zero
macauley,mac_BLK4_4,CoverCrop,5/13/25,45.922,1.757,Zero
macauley,mac_BLK4_4,CoverCrop,5/13/25,45.319,1.546,Zero
macauley,mac_BLK4_1,MaizeBiomass,7/9/25,43.031,4.114,Low
macauley,mac_BLK4_1,MaizeBiomass,7/9/25,43.371,3.958,Low
macauley,mac_BLK4_1,CoverCrop,5/13/25,45.058,2.646,Low
macauley,mac_BLK4_1,CoverCrop,5/13/25,44.59,1.979,Low
macauley,mac_BLK3_3,MaizeBiomass,7/9/25,43.344,4.15,Standard
macauley,mac_BLK3_3,MaizeBiomass,7/9/25,44.054,3.486,Standard
macauley,mac_BLK3_3,CoverCrop,5/13/25,45.764,1.775,Standard
macauley,mac_BLK3_3,CoverCrop,5/13/25,45.212,1.617,Standard
macauley,mac_BLK3_2,MaizeBiomass,7/9/25,44.039,3.957,Zero
macauley,mac_BLK3_2,MaizeBiomass,7/9/25,45.135,3.577,Zero
macauley,mac_BLK3_2,CoverCrop,5/13/25,45.596,1.79,Zero
macauley,mac_BLK3_2,CoverCrop,5/13/25,46.403,1.471,Zero
macauley,mac_BLK3_4,MaizeBiomass,7/9/25,43.091,4.48,Low
macauley,mac_BLK3_4,MaizeBiomass,7/9/25,43.428,4.235,Low
macauley,mac_BLK3_4,CoverCrop,5/13/25,45.547,2.006,Low
macauley,mac_BLK3_4,CoverCrop,5/13/25,44.542,1.786,Low
macauley,mac_BLK3_1,MaizeBiomass,7/9/25,44.731,4.044,High
macauley,mac_BLK3_1,MaizeBiomass,7/9/25,42.573,4.349,High
macauley,mac_BLK3_1,CoverCrop,5/13/25,45.07,1.47,High
macauley,mac_BLK3_1,CoverCrop,5/13/25,45.658,1.842,High
macauley,mac_BLK2_3,MaizeBiomass,7/9/25,43.582,4.197,Low
macauley,mac_BLK2_3,MaizeBiomass,7/9/25,44.271,4.209,Low
macauley,mac_BLK2_3,CoverCrop,5/13/25,45.359,1.909,Low
macauley,mac_BLK2_3,CoverCrop,5/13/25,45.154,1.901,Low
macauley,mac_BLK2_2,MaizeBiomass,7/9/25,43.056,4.343,High
macauley,mac_BLK2_2,MaizeBiomass,7/9/25,42.327,4.341,High
macauley,mac_BLK2_2,CoverCrop,5/13/25,44.704,1.861,High
macauley,mac_BLK2_2,CoverCrop,5/13/25,46.06,1.737,High
macauley,mac_BLK2_4,MaizeBiomass,7/9/25,43.724,4.526,Standard
macauley,mac_BLK2_4,MaizeBiomass,7/9/25,43.605,4.394,Standard
macauley,mac_BLK2_4,CoverCrop,5/13/25,44.788,2.12,Standard
macauley,mac_BLK2_4,CoverCrop,5/13/25,45.382,1.602,Standard
macauley,mac_BLK2_1,MaizeBiomass,7/9/25,43.176,4.44,Zero
macauley,mac_BLK2_1,MaizeBiomass,7/9/25,42.486,4.373,Zero
macauley,mac_BLK2_1,CoverCrop,5/13/25,44.08,1.911,Zero
macauley,mac_BLK2_1,CoverCrop,5/13/25,46.173,1.995,Zero
macauley,mac_BLK1_3,MaizeBiomass,7/9/25,43.588,4.309,Zero
macauley,mac_BLK1_3,MaizeBiomass,7/9/25,42.403,4.485,Zero
macauley,mac_BLK1_3,CoverCrop,5/13/25,44.8,1.664,Zero
macauley,mac_BLK1_3,CoverCrop,5/13/25,45.189,1.7,Zero
macauley,mac_BLK1_2,MaizeBiomass,7/9/25,44.443,4.204,Low
macauley,mac_BLK1_2,MaizeBiomass,7/9/25,43.257,4.425,Low
macauley,mac_BLK1_2,CoverCrop,5/13/25,44.881,1.641,Low
macauley,mac_BLK1_2,CoverCrop,5/13/25,45.207,2,Low
macauley,mac_BLK1_4,MaizeBiomass,7/9/25,NA,NA,High
macauley,mac_BLK1_4,MaizeBiomass,7/9/25,42.908,4.116,High
macauley,mac_BLK1_4,CoverCrop,5/13/25,44.768,1.803,High
macauley,mac_BLK1_4,CoverCrop,5/13/25,45.376,1.645,High
macauley,mac_BLK1_3,CoverCrop,5/13/25,44.056,1.678,Standard
macauley,mac_BLK1_3,CoverCrop,5/13/25,44.422,2.791,Standard